"","forward"
"1",-0.0957569408002785
"2",-0.0969635798144798
"3",-0.0989210901257631
"4",-0.100959185684815
"5",-0.102353833475107
"6",-0.109250575213415
"7",-0.110174507513793
"8",-0.112767453515308
"9",-0.115485224531138
"10",-0.119185192711814
"11",0.000725976536443795
"12",0.00091211690585058
"13",0.00110017259971995
"14",0.00129017305188772
"15",0.00148214830225246
"16",0.00225876137632652
"17",0.00264959040861346
"18",0.00266334009033375
"19",0.00229410264474406
"20",0.00192121330488182
"21",0.00325064121041585
"22",0.00338758993278954
"23",0.00365183270432223
"24",0.00366440672280377
"25",0.00393155197138806
"26",0.00487370511020013
"27",0.00527872033830978
"28",0.00503773171624755
"29",0.00492532206170071
"30",0.00455097841239072
"31",0.00600997250398883
"32",0.00650704841455929
"33",0.0062343839391763
"34",0.00634750214208757
"35",0.0065583180984472
"36",0.00739395136500276
"37",0.00800363063665932
"38",0.00822231000116647
"39",0.00774968094094208
"40",0.00727500436072659
"41",0.00753056267052266
"42",0.00762499169471353
"43",0.00779851279410648
"44",0.00789395896438427
"45",0.00814795202895557
"46",0.00907673073209603
"47",0.00949602513787529
"48",0.00935620429220796
"49",0.00937642101091973
"50",0.00899449350629222
"51",0.00574941933820372
"52",0.00581223575736134
"53",0.00594779692103709
"54",0.00607727474131581
"55",0.00626683857712962
"56",0.00714019106532926
"57",0.00753413093847644
"58",0.00757449209405414
"59",0.00752772033292248
"60",0.00718502809745925
"61",0.00521603811302973
"62",0.0052973941140575
"63",0.00542427389898315
"64",0.00556291882682536
"65",0.00575883438189551
"66",0.0066195213068192
"67",0.00700800409002089
"68",0.00708775139909723
"69",0.007058440215296
"70",0.00674685960992139
"71",0.0174787613732001
"72",0.0175005289388941
"73",0.0178042093726765
"74",0.0181088190048158
"75",0.0185086984364899
"76",0.0202860802816953
"77",0.0209781666352349
"78",0.0211000179220391
"79",0.0211266377235706
"80",0.0201020590149907
"81",0.0253018813722561
"82",0.0247955930723198
"83",0.0243766420160225
"84",0.0243952486272663
"85",0.0252035615247641
"86",0.0274672158283968
"87",0.0289953557923639
"88",0.0299961582894634
"89",0.0296628981599563
"90",0.0286175080662501
"91",0.0399073116369952
"92",0.0392986315106902
"93",0.0398552137009245
"94",0.0396699623558934
"95",0.0407595256540159
"96",0.0439433050084534
"97",0.0463396800012335
"98",0.0466950279239844
"99",0.0465108542314607
"100",0.0446011171777001
