CAN 0.50 Feb 22,CAN 0.25 Jul 22,CAN 0.25 Oct 22,CAN 0.25 Jan 23,CAN 0.25 Apr 23,CAN 0.25 Jul 23,CAN 0.50 Oct 23,CAN 0.25 Mar 24,CAN 0.50 Aug 25,CAN 0.25 Feb 26
0,0,0,0,0,0,0,0,0,0
0,0.096936123,0.016416584,0.033299475,0.004480608,0.003942495,0.006050084,0,-0.01,-0.006862217
0,0.079207358,0.031086576,-0.01967423,0.008826464,0.009223932,0.009600552,0.006883315,-0.01,0.005725659
0,0.066972904,0,0.006656801,0.004347647,0.008563279,0.010279671,0.006778391,0,-0.002281646
0,0.058018063,0.029016047,0.013017429,0.0127908,0.012539797,0.014341438,0.008880128,0.01,0.011295843
0,0.176195747,0.088605203,0.048514577,0.043953737,0.054207668,0.058376424,0.037904881,0.04,0.03126267
-0.01,0.066999047,0.033078852,0.03315778,0.018614969,0.02248715,0.024046284,0.013912269,0.02,0.022370819
0,0,-0.021771646,0.010517959,-0.007351871,0.00153574,0.004234524,0.001952537,0.01,0.002967883
0,-0.066999047,-0.011307205,-0.02678349,0,-0.003462977,-0.002465194,0,-0.01,-0.001976459
0,-0.079233495,-0.035794123,-0.028526609,-0.018935104,-0.020964862,-0.020234183,-0.021962623,-0.02,-0.018181387
